"Part","Value","Device","Package","Library","Description","BUILT_BY","COIL_RESISTANCE","COIL_TYPE","COMMENT","CONTACT_CONFIGURATION","CONTACT_CURRENT","CONTACT_VOLTAGE_DC","CONTACT_VOLTAGE_VAC","COPYRIGHT","DATASHEET","DESCRIPTION","DIGI-KEY_PART_NUMBER","DIGI-KEY_PART_NUMBER_1","EU_ROHS_COMPLIANCE","MANUFACTURER_PART_NUMBER","MF","MFR_NAME","MP","MPN","PACKAGE","PURCHASE-URL","SHORTCUT","SOURCELIBRARY","VENDOR",
"+5V","24.243.1","24.243.1","CONN_24.243_MTC","39F1574","","","","","","","","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","","","","","24.243.1","","Multicomp","","","","","","","",
"+15V","24.243.1","24.243.1","CONN_24.243_MTC","Banana_connector_24.243.1","","EMA_Justin","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","http://www.farnell.com/datasheets/1901211.pdf?_ga=2.209271186.1695985900.1582574926-861621671.1572890216&_gac=1.224104297.1582574926.CjwKCAiAhc7yBRAdEiwAplGxX0eXyKiGfj62eRMGG7KvwS8fdWH6vWjmriwTUSfyzPNlkVLVCkx_YhoCwGcQAvD_BwE","","","","","24.243.1","","","","","","","","Multicomp_2020-02-25","Multicomp",
"-15V","24.243.1","24.243.1","CONN_24.243_MTC","39F1574","","","","","","","","","","Copyright (C) 2022 Ultra Librarian. All rights reserved.","","","","","","24.243.1","","Multicomp","","","","","","","",
"AGND","24.243.1","24.243.1","CONN_24.243_MTC","Banana_connector_24.243.1","","EMA_Justin","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","http://www.farnell.com/datasheets/1901211.pdf?_ga=2.209271186.1695985900.1582574926-861621671.1572890216&_gac=1.224104297.1582574926.CjwKCAiAhc7yBRAdEiwAplGxX0eXyKiGfj62eRMGG7KvwS8fdWH6vWjmriwTUSfyzPNlkVLVCkx_YhoCwGcQAvD_BwE","","","","","24.243.1","","","","","","","","Multicomp_2020-02-25","Multicomp",
"C3","C1608X8L1C105K080AC","C1608X8L1C105K080AC","CAPC1608X90N","1uF_cap_C1608X8L1C105K080AC","","","","","","","","","","",""," 1µF ±10% 16V Ceramic Capacitor X8L 0603 (1608 Metric) ","445-175407-1-ND","","","","TDK","","C1608X8L1C105K080AC","","1608 TDK","","","","",
"DGND","24.243.1","24.243.1","CONN_24.243_MTC","Banana_connector_24.243.1","","EMA_Justin","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","http://www.farnell.com/datasheets/1901211.pdf?_ga=2.209271186.1695985900.1582574926-861621671.1572890216&_gac=1.224104297.1582574926.CjwKCAiAhc7yBRAdEiwAplGxX0eXyKiGfj62eRMGG7KvwS8fdWH6vWjmriwTUSfyzPNlkVLVCkx_YhoCwGcQAvD_BwE","","","","","24.243.1","","","","","","","","Multicomp_2020-02-25","Multicomp",
"J1","5530841-5","5530841-5","TE_5530841-5","cardEdge5530841-5","Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole","","","","5530841-5","","","","","",""," Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole ","5530841-5-ND","","Compliant","","TE Connectivity","","5530841-5","","None","https://pricing.snapeda.com/search/part/5530841-5/?ref=eda","","","",
"J2","5530841-5","5530841-5","TE_5530841-5","cardEdge5530841-5","Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole","","","","5530841-5","","","","","",""," Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole ","5530841-5-ND","","Compliant","","TE Connectivity","","5530841-5","","None","https://pricing.snapeda.com/search/part/5530841-5/?ref=eda","","","",
"J3","5530841-5","5530841-5","TE_5530841-5","cardEdge5530841-5","Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole","","","","5530841-5","","","","","",""," Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole ","5530841-5-ND","","Compliant","","TE Connectivity","","5530841-5","","None","https://pricing.snapeda.com/search/part/5530841-5/?ref=eda","","","",
"J4","5530841-5","5530841-5","TE_5530841-5","cardEdge5530841-5","Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole","","","","5530841-5","","","","","",""," Conn Power Card Edge SKT 50 POS 2.54mm Solder ST Thru-Hole ","5530841-5-ND","","Compliant","","TE Connectivity","","5530841-5","","None","https://pricing.snapeda.com/search/part/5530841-5/?ref=eda","","","",
